name,rating,num_of_ratings,price,size,resolution,refresh_rate
"15 Inch Triple Portable Monitor - FOPO FHD 1080P HDR IPS Laptop Monitor Screen Extender for Dual Monitor Display, for 15""-17"" Laptops & Switch/Xbox/Phone, Support Windows/MAC System, Type-C/HDMI Port",4.1 out of 5 stars,7,"649,.",15 inches,FHD 1080p,60 hertz
,,,,,,
"15 Inch Triple Portable Monitor - FOPO FHD 1080P HDR IPS Laptop Monitor Screen Extender for Dual Monitor Display, for 15""-17"" Laptops & Switch/Xbox/Phone, Support Windows/MAC System, Type-C/HDMI Port",4.1 out of 5 stars,7,"649,.",15 inches,FHD 1080p,60 hertz
,,,"649,.",,,
,,,,15 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Dell SE2722HX - 27-inch FHD (1920 x 1080) 16:9 Monitor with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare with 3H Hardness, Black",4.7 out of 5 stars,984,"177,.",27 inches,FHD 1080p,75 hertz
,,,,,,
"Dell SE2722HX - 27-inch FHD (1920 x 1080) 16:9 Monitor with Comfortview (TUV-Certified), 75Hz Refresh Rate, 16.7 Million Colors, Anti-Glare with 3H Hardness, Black",4.7 out of 5 stars,984,"177,.",27 inches,FHD 1080p,75 hertz
,,,"177,.",,,
,,,,27 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"HP V20 HD+ Monitor | 19.5-inch Diagonal HD+ Computer Monitor with TN Panel and Blue Light Settings | HP Monitor with Tiltable Screen HDMI and VGA Port | (1H848AA#ABA), Black",4.4 out of 5 stars,"1,184","79,.",19.5 inches,FHD 1080p,60 hertz
,,,,,,
"HP V20 HD+ Monitor | 19.5-inch Diagonal HD+ Computer Monitor with TN Panel and Blue Light Settings | HP Monitor with Tiltable Screen HDMI and VGA Port | (1H848AA#ABA), Black",4.4 out of 5 stars,"1,184","79,.",19.5 inches,FHD 1080p,60 hertz
,,,"79,.",,,
,,,,19.5 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Sceptre Curved 24"" 75Hz Professional LED Monitor 1080p 98% sRGB HDMI VGA Build-in Speakers, Machine Black 2021",4.6 out of 5 stars,"2,228","129,.",24 inches,"VGA, FHD 1080p",75 hertz
,,,,,,
"Sceptre Curved 24"" 75Hz Professional LED Monitor 1080p 98% sRGB HDMI VGA Build-in Speakers, Machine Black 2021",4.6 out of 5 stars,"2,228","129,.",24 inches,"VGA, FHD 1080p",75 hertz
,,,"129,.",,,
,,,,24 inches,"VGA, FHD 1080p",75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"HP V28 4K Monitor - Computer Monitor with 28-inch Diagonal Display, 3840 x 2160 at 60 Hz, and 1ms Response Time - AMD Freesync Technology - Dual HDMI and DisplayPort - Low Blue Light - 8WH57AA#ABA",4.2 out of 5 stars,164,"229,.",28 inches,4K UHD 1600p Ultra Wide,60 hertz
,,,,,,
"HP V28 4K Monitor - Computer Monitor with 28-inch Diagonal Display, 3840 x 2160 at 60 Hz, and 1ms Response Time - AMD Freesync Technology - Dual HDMI and DisplayPort - Low Blue Light - 8WH57AA#ABA",4.2 out of 5 stars,164,"229,.",28 inches,4K UHD 1600p Ultra Wide,60 hertz
,,,"229,.",,,
,,,,28 inches,4K UHD 1600p Ultra Wide,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"Acer UM.XV6AA.A01 18.5-Inch Screen LCD Monitor,Black",3.8 out of 5 stars,42,"84,.",18.5 inches,XGA Wide,60 hertz
,,,,,,
"Acer UM.XV6AA.A01 18.5-Inch Screen LCD Monitor,Black",3.8 out of 5 stars,42,"84,.",18.5 inches,XGA Wide,60 hertz
,,,"84,.",,,
,,,,18.5 inches,XGA Wide,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
LG 32ML600M-B 32” Inch Full HD IPS LED Monitor with HDR 10 - Black,4.6 out of 5 stars,"2,669","249,.",31.5 inches,FHD 1080p,75 hertz
,,,,,,
LG 32ML600M-B 32” Inch Full HD IPS LED Monitor with HDR 10 - Black,4.6 out of 5 stars,"2,669","249,.",31.5 inches,FHD 1080p,75 hertz
,,,"249,.",,,
,,,,31.5 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"SAMSUNG T350 Series 27-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), 3-Sided Border-Less, FreeSync (LF27T350FHNXZA)",4.6 out of 5 stars,"1,755","159,.",27 inches,FHD 1080p,75 hertz
,,,,,,
"SAMSUNG T350 Series 27-Inch FHD 1080p Computer Monitor, 75Hz, IPS Panel, HDMI, VGA (D-Sub), 3-Sided Border-Less, FreeSync (LF27T350FHNXZA)",4.6 out of 5 stars,"1,755","159,.",27 inches,FHD 1080p,75 hertz
,,,"159,.",,,
,,,,27 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"HP V223ve FHD Monitor, 1080p VA Display,75Hz Refresh Rate, 21.5-inch Computer Screen,TÜV certified Low Blue Light Mode, Ergonomic Tilt,3000:1 Contrast Ratio,HDMI & VGA Ports,VESA Mounting (2021),Black",4.6 out of 5 stars,599,"124,.",21.5 inches,FHD 1080p,75 hertz
,,,,,,
"HP V223ve FHD Monitor, 1080p VA Display,75Hz Refresh Rate, 21.5-inch Computer Screen,TÜV certified Low Blue Light Mode, Ergonomic Tilt,3000:1 Contrast Ratio,HDMI & VGA Ports,VESA Mounting (2021),Black",4.6 out of 5 stars,599,"124,.",21.5 inches,FHD 1080p,75 hertz
,,,"124,.",,,
,,,,21.5 inches,FHD 1080p,75 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"HP FHD IPS Monitor with Tilt Adjustment and Anti-Glare Panel- 32-Inch, Black/Silver",4.7 out of 5 stars,"1,305","209,.",31.5 inches,FHD 1080p,60 hertz
,,,,,,
"HP FHD IPS Monitor with Tilt Adjustment and Anti-Glare Panel- 32-Inch, Black/Silver",4.7 out of 5 stars,"1,305","209,.",31.5 inches,FHD 1080p,60 hertz
,,,"209,.",,,
,,,,31.5 inches,FHD 1080p,60 hertz
,,,,,,
,,,,,,
,,,,,,
,,,,,,
